Geraldton Greenstone Regional Airport,49.7783012,-86.9393997,YGQ
Îles-de-la-Madeleine Airport,47.425242,-61.778612,YGR
Igloolik Airport,69.3647003,-81.8161011,YGT
Havre-Saint-Pierre Airport,50.281898,-63.611401,YGV
Kuujjuarapik Airport,55.2818985,-77.7652969,YGW
Gillam Airport,56.3574982,-94.7106018,YGX
Grise Fiord Airport,76.4261017,-82.9092026,YGZ
Quaqtaq Airport,61.0463982,-69.6177979,YQC
Dryden Regional Airport,49.831699,-92.744202,YHD
Hope Airport / FVRD Regional Airpark,49.368865,-121.49495,YHE
Hearst René Fontaine Municipal Airport,49.7141991,-83.6860962,YHF
Nemiscau Airport,51.6911011,-76.1355972,YNS
Ulukhaktok Holman Airport,70.7628021,-117.8059998,YHI
Gjoa Haven Airport,68.6355972,-95.8497009,YHK
John C. Munro Hamilton International Airport,43.1735992,-79.9349976,YHM
Hornepayne Municipal Airport,49.1931,-84.7589035,YHN
Hopedale Airport,55.448757,-60.228124,YHO
Chevery Airport,50.4688988,-59.6366997,YHR
Haines Junction Airport,60.7892,-137.546005,YHT
Montréal / Saint-Hubert Airport,45.5175018,-73.4169006,YHU
Hay River / Merlyn Carter Airport,60.8396988,-115.7829971,YHY
Halifax / Stanfield International Airport,44.8807983,-63.5085983,YHZ
Atikokan Municipal Airport,48.7738991,-91.6386032,YIB
Digby / Annapolis Regional Airport,44.545845,-65.7854247,YDG
St Augustin Airport,51.2117004,-58.6582985,YIF
Ivujivik Airport,62.4173012,-77.9253006,YIK
Pond Inlet Airport,72.6832962,-77.9666977,YIO
Island Lake Airport,53.8572006,-94.6536026,YIV
Fort Liard Airport,60.2358017,-123.4690018,YJF
St Jean Airport,45.2943993,-73.2810974,YJN
Stephenville Airport,48.5442009,-58.5499992,YJT
Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641,YKA
Aklavik/Freddie Carmichael Airport,68.223297,-135.00599,LAK
Waterloo Airport,43.4608002,-80.3786011,YKF
Kangiqsujuaq (Wakeham Bay) Airport,61.5886002,-71.9293976,YWB
Key Lake Airport,57.2560997,-105.6179962,YKJ
Schefferville Airport,54.8053017,-66.8052979,YKL
Akulivik Airport,60.8185997,-78.1485977,AKV
Waskaganish Airport,51.4733009,-78.7583008,YKQ
Kirkland Lake Airport,48.2103004,-79.9813995,YKX
Kindersley Airport,51.5175018,-109.1809998,YKY
Buttonville Municipal Airport,43.8622017,-79.3700027,YKZ
Aupaluk Airport,59.2966995,-69.5997009,YPJ
Kimmirut Airport,62.848253,-69.877853,YLC
Chapleau Airport,47.8199997,-83.3467026,YLD
Lansdowne House Airport,52.1955986,-87.9341965,YLH
Meadow Lake Airport,54.1253014,-108.5230026,YLJ
Lutselk'e Airport,62.418303,-110.681998,YSG
Lloydminster Airport,53.3092003,-110.072998,YLL
Leaf Rapids Airport,56.5133018,-99.9852982,YLR
Alert Airport,82.517799,-62.280602,YLT
Kangiqsualujjuaq (Georges River) Airport,58.711399,-65.992798,XGR
Kelowna International Airport,49.9561,-119.377998,YLW
Mayo Airport,63.6164017,-135.8679962,YMA
Matane Airport,48.8568993,-67.4533005,YME
Manitouwadge Airport,49.0839005,-85.8606033,YMG
Mary's Harbour Airport,52.302837,-55.847626,YMH
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.3302994,-105.5589981,YMJ
