,name,latitude_deg,longitude_deg,iso_country,iata_code
47945,Christchurch International Airport,-43.489399,172.5319977,NZ,CHC
47946,Chatham Islands / Tuuta Airport,-43.81189,-176.46514,NZ,CHT
47952,Dunedin International Airport,-45.928101,170.197998,NZ,DUD
47973,Gisborne Airport,-38.6632996,177.9779968,NZ,GIS
47974,Glentanner Airport,-43.9067001,170.128006,NZ,GTN
47979,Hokitika Airfield,-42.7136002,170.9850006,NZ,HKK
47980,Hamilton International Airport,-37.8666992,175.3320007,NZ,HLZ
48015,Kerikeri Airport,-35.259148,173.913317,NZ,KKE
48019,Kaitaia Airport,-35.069837,173.287053,NZ,KAT
48026,Alexandra Aerodrome,-45.210495,169.371113,NZ,ALR
48029,Mount Cook Airport,-43.7649994,170.1329956,NZ,MON
48037,Manapouri Airport,-45.5331001,167.6499939,NZ,TEU
48040,Hood Airport,-40.974634,175.63454,NZ,MRO
48048,New Plymouth Airport,-39.0085983,174.1790009,NZ,NPL
48049,Hawke's Bay Airport,-39.465801,176.869995,NZ,NPE
48050,Nelson Airport,-41.298302,173.220993,NZ,NSN
48051,Invercargill Airport,-46.4123993,168.3130035,NZ,IVC
48055,RNZAF Base Ohakea,-40.2060013,175.3880005,NZ,OHA
48061,Oamaru Airport,-44.9700012,171.0820007,NZ,OAM
48068,Palmerston North Airport,-40.320599,175.617004,NZ,PMR
48071,Paraparaumu Airport,-40.9047012,174.9889984,NZ,PPQ
48073,Queenstown International Airport,-45.021099,168.738998,NZ,ZQN
48080,Rotorua Regional Airport,-38.1091995,176.3170013,NZ,ROT
48091,Tauranga Airport,-37.6719017,176.1959991,NZ,TRG
48102,Timaru Airport,-44.3027992,171.2250061,NZ,TIU
48107,Pukaki Airport,-44.2350006,170.1179962,NZ,TWZ
48112,Woodbourne Airport,-41.5182991,173.8699951,NZ,BHE
48115,Wanaka Airport,-44.722954,169.248419,NZ,WKA
48119,Whakatane Airport,-37.9206009,176.9140015,NZ,WHK
48122,Wellington International Airport,-41.3272018,174.8049927,NZ,WLG
48123,Wairoa Airport,-39.0069008,177.4069977,NZ,WIR
48126,Whangarei Airport,-35.769253,174.363713,NZ,WRE
48127,Westport Airport,-41.737111,171.579033,NZ,WSZ
48129,Wanganui Airport,-39.9622002,175.0249939,NZ,WAG
48198,Herat - Khwaja Abdullah Ansari International Airport,34.209999,62.228298,AF,HEA
48199,Bagram Airfield,34.946098,69.264999,AF,OAI
48201,Jalalabad Airport,34.399799,70.498596,AF,JAA
48202,Kabul International Airport,34.565899,69.212303,AF,KBL
48204,Ahmad Shah Baba International Airport / Kandahar Airfield,31.5058,65.847801,AF,KDH
48210,Maymana Zahiraddin Faryabi Airport,35.930801,64.760902,AF,MMZ
48211,Mazar-i-Sharif International Airport,36.706902,67.209702,AF,MZR
48228,Kunduz Airport,36.6651,68.910797,AF,UND
48234,Bahrain International Airport,26.267295,50.63764,BH,BAH
48253,Abha International Airport,18.2404,42.656601,SA,AHB
48254,Al-Ahsa International Airport,25.285299,49.485199,SA,HOF
48255,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,SA,ABT
48256,Bisha Airport,19.9844,42.620899,SA,BHH
48259,King Fahd International Airport,26.4712009,49.7979012,SA,DMM
48260,King Salman Abdulaziz Airport,24.4499,44.121201,SA,DWD
48261,King Abdulaziz Air Base,26.2654,50.152,SA,DHA
